Fecha,Gasolina regular,Gasolina superior,Diesel
2009-08-01,267830.84,409182.96,692376.6999999998
2009-09-01,248994.41999999998,420238.71,687435.1000000001
2009-10-01,269008.52,421753.29000000004,775739.56
2009-11-01,212149.905,391754.81,738678.6499999999
2009-12-01,296805.29000000004,449842.29000000004,891670.4099999999
2010-01-01,243341.49000000002,389068.41,777741.3400000001
2010-02-01,248207.93000000002,391195.69000000006,807692.1
2010-03-01,320985.41000000003,465664.59,1017058.18
2010-04-01,254872.61000000002,387063.18,762770.0099999999
2010-05-01,238903.31,381811.17999999993,721668.1799999999
2010-06-01,251896.38999999998,385981.1,683236.54
2010-07-01,278700.49,422481.8,721584.6000000001
2010-08-01,268917.79,410176.38999999996,695796.3300000001
2010-09-01,266975.25,396429.75,687553.88
2010-10-01,275031.20999999996,418305.07000000007,745415.5100000001
2010-11-01,273452.94,409652.73,785917.4000000001
2010-12-01,320807.17,466766.78,843762.0
2011-01-01,285089.04000000004,411737.32999999996,850696.7899999999
2011-02-01,269301.38,391131.1,819940.5
2011-03-01,281453.75,393160.91,900485.91
2011-04-01,285598.37,386749.27,797527.23
2011-05-01,253277.88,371876.74999999994,803849.5299999999
2011-06-01,290137.49000000005,380800.43,729676.79
2011-07-01,279283.36,389294.64,718255.06
2011-08-01,256380.26999999996,408494.50999999995,699736.08
2011-09-01,256728.25000000003,380453.23,660384.9299999999
2011-10-01,242071.00999999998,381309.5,672214.9299999999
2011-11-01,231413.83,381871.84,794507.24
2011-12-01,291678.03,449904.1,862318.7999999999
2012-01-01,261933.68,393781.93999999994,814956.7200000001
2012-02-01,253733.21999999997,402633.55,848067.2499999999
2012-03-01,290286.65,429534.5,925065.27
2012-04-01,262615.27999999997,389264.01999999996,792201.73
2012-05-01,235374.04,405877.41000000003,771542.4700000001
2012-06-01,261012.58000000002,409111.24,712464.94
2012-07-01,233061.34999999998,420370.60000000003,699130.0399999999
2012-08-01,259165.94,433828.01999999996,716720.36
2012-09-01,228205.77,378478.8,632120.3700000001
2012-10-01,261347.22,414523.22000000003,728414.8799999999
2012-11-01,272657.82,394751.47,812523.4400000001
2012-12-01,310407.04,442191.42999999993,848262.93
2013-01-01,287985.59,408557.45,863769.4099999999
2013-02-01,259659.66,361215.69,808853.9700000001
2013-03-01,313075.44999999995,413744.8599999999,898352.2
2013-04-01,330070.65,409238.3,966103.9199999999
2013-05-01,313131.36,403354.79,827601.25
2013-06-01,287596.64,402012.07,775187.12286
2013-07-01,314185.61,425154.22000000003,732544.52
2013-08-01,288400.67,416968.14999999997,773147.9
2013-09-01,249357.41999999998,379479.78,672125.1600000001
2013-10-01,314518.72000000003,430179.69,800049.1200000001
2013-11-01,306638.45,404692.46,821457.4500000001
2013-12-01,339969.85,448135.35,860351.9000000001
2014-01-01,312139.77,412617.92999999993,917251.54
2014-02-01,312142.65,385430.58,890362.3099999999
2014-03-01,335869.63,434863.95999999996,1004937.39
2014-04-01,349155.29999999993,437470.06999999995,972039.4199999999
2014-05-01,332737.37,427487.20000000007,877263.31
2014-06-01,303016.82,387299.1,733508.7
2014-07-01,344659.64,439137.13,826918.8099999999
2014-08-01,326356.06000000006,442953.10000000003,793694.01
2014-09-01,371327.13000000006,411466.28,728498.8400000001
2014-10-01,343812.67,459922.48,836278.1200000001
2014-11-01,343918.56000000006,436467.89999999997,885713.74
2014-12-01,464223.15,538899.26,1021378.09
2015-01-01,419102.71999999986,503135.7,1014706.21
2015-02-01,398167.69000000006,454190.88,980149.84
2015-03-01,457246.13999999996,521879.26,1142551.0599999998
2015-04-01,413451.11,486779.41000000003,1011167.74
2015-05-01,415570.94999999995,483594.8300000001,944316.6599999999
2015-06-01,414466.18,480892.11000000004,880016.47
2015-07-01,440729.52999999997,515322.6599999999,902586.3600000001
2015-08-01,439588.9,513413.0,887796.8499999999
2015-09-01,422826.5854761905,501658.0433333333,734654.215
2015-10-01,448971.87999999995,532741.14,834285.95
2015-11-01,423841.81999999995,516486.95,925430.9999999999
2015-12-01,499839.17,600161.72,1047478.84
2016-01-01,433180.33999999997,545737.53,1084043.6300000001
2016-02-01,450916.35,540459.19,1055672.6400000001
