Fecha,Gasolina regular,Gasolina superior,Diesel
2012-06-01,320566.69,550379.3300000001,767124.6499999999
2012-07-01,142232.47,271509.2,1021995.9
2012-08-01,263677.23,361307.2,626706.23
2012-09-01,201347.56,372989.29,619651.27
2012-10-01,374301.51,600094.0299999999,463054.77
2012-11-01,197398.8,359818.54000000004,538552.89
2012-12-01,287980.58,419029.17,1324780.96
2013-01-01,396416.83999999997,433924.69,749266.6799999999
2013-02-01,235502.58000000002,470483.98,709843.02
2013-03-01,439386.62,429974.17,832627.57
2013-04-01,274680.65,430259.18000000005,860094.78
2013-05-01,281823.2,532379.66,1202187.85
2013-06-01,293808.6,284038.03,729711.88
2013-07-01,259025.83000000002,486075.06,693160.4999999999
2013-08-01,221433.2,347066.11000000004,505133.44
2013-09-01,300794.99,373303.30999999994,803626.9800000001
2013-10-01,281168.85,372946.32999999996,980327.9800000001
2013-11-01,390941.15,496029.72,903218.47
2013-12-01,210096.78,358799.63999999996,791698.89
2014-01-01,487880.79000000004,457365.45999999996,1595698.5599999998
2014-02-01,312423.86000000004,455726.06,688703.18
2014-03-01,472437.63,582572.93,1147182.5
2014-04-01,207049.0,270302.22,845051.33
2014-05-01,417767.24,563319.79,1008148.0700000001
2014-06-01,247114.99,404603.55,694920.6799999999
2014-07-01,454196.13,558403.4099999999,845875.8599999999
2014-08-01,305285.53,398563.48000000004,760353.3700000001
2014-09-01,378741.55999999994,547486.22,598145.89
2014-10-01,256340.49000000002,379572.07,762763.24
2014-11-01,372809.93000000005,533524.4,1033873.16
2014-12-01,491072.11000000004,583081.5700000001,1004032.65
2015-01-01,371420.59,471973.3,1324421.9600000002
2015-02-01,548714.53,664315.85,955286.0199999999
2015-03-01,453536.19,622883.1000000001,1164885.97
2015-04-01,537064.59,599558.55,1130870.79
2015-05-01,534049.2799999999,618319.2100000001,954782.75
2015-06-01,394824.32999999996,525280.85,862071.77
2015-07-01,519374.14999999997,616269.01,1149630.4300000002
2015-08-01,328552.06999999995,467373.13,919285.9
2015-09-01,485906.49,576250.2899999999,754068.7699999999
2015-10-01,432666.75,533620.64,1163425.95
2015-11-01,574547.76,724273.9700000001,904700.4199999999
2015-12-01,319329.71,498798.79,1113876.28
2016-01-01,546876.54,729211.4299999999,987507.7799999999
2016-02-01,424074.81,405559.45,1167227.96
2016-03-01,508542.18000000005,771024.11,1498844.95
2016-04-01,527083.64,502728.88,1137213.1
2016-05-01,528347.81,615900.31,1035544.08
2016-06-01,397477.4,502082.45,800222.53
2016-07-01,526652.73,618366.1,859222.6199999999
2016-08-01,512202.57,625218.9,701185.75
2016-09-01,567786.57,677892.97,1274128.31
2016-10-01,455850.75999999995,546154.65,927923.5
2016-11-01,476784.16000000003,725548.16,957656.05
2016-12-01,473659.59,526573.96,1303735.7799999998
2017-01-01,527564.9,748233.5800000001,842993.49
2017-02-01,469140.06,497707.41000000003,844676.98
2017-03-01,608144.98,734984.24,1351787.92
2017-04-01,681303.1099999999,632843.4099999999,1406022.4300000002
2017-05-01,386088.18,442311.09,889926.86
2017-06-01,519389.66000000003,582374.34,902659.0
2017-07-01,433026.08,769214.06,994338.3
2017-08-01,592103.31,607368.72,846696.3500000001
2017-09-01,316435.22,401678.98,925397.8699999999
2017-10-01,574073.61,657241.76,740198.57
2017-11-01,434963.36,504247.31,1135350.1
2017-12-01,679441.47,803216.88,1305047.55
2018-01-01,571858.0599999999,535784.7,1175819.4200000002
2018-02-01,509366.1,629467.9099999999,951630.6
2018-03-01,563899.06,529507.15,901292.0499999999
2018-04-01,510830.0,617512.28,696962.77
2018-05-01,580825.11,580329.35,1630635.6400000001
2018-06-01,463620.61,558257.59,777679.9099999999
2018-07-01,543333.77,784601.77,793683.41
2018-08-01,663834.04,541557.34,1281364.78
2018-09-01,454442.87,536897.09,896266.4299999999
2018-10-01,726044.35,663440.3400000001,998731.0399999999
2018-11-01,534084.49,509382.86,938624.18
2018-12-01,535639.97,631652.56,792198.66
2019-01-01,702923.3699999999,684504.84,1195728.2000000002
2019-02-01,469437.28,521555.38,1208476.16
2019-03-01,678145.38,704276.53,1550052.84
2019-04-01,867761.34,656495.95,1255075.62
2019-05-01,596798.22,568128.4099999999,1011872.8700000001
2019-06-01,712731.8,629788.4299999999,1029100.9
2019-07-01,531577.64,516273.85000000003,1056569.1099999999
2019-08-01,896841.31,713859.98,1167556.8900000001
2019-09-01,518043.68,491194.7100000001,725041.0700000001
2019-10-01,712672.38,691407.73,1195576.77
2019-11-01,791039.02,658706.42,1122990.69
2019-12-01,731012.24,797580.75,1098972.3900000001
2020-01-01,629414.9,573220.63,1033194.95
2020-02-01,741509.07,611314.13,1249319.29
2020-03-01,735491.29,809640.18,1369326.46
2020-04-01,329134.18,453153.09,834366.52
2020-05-01,415805.82,170292.5,694063.5399999999
2020-06-01,683322.72,415672.19,1115093.96
2020-07-01,451717.75,347541.59,779930.57
2020-08-01,547899.55,414416.34,799256.95
2020-09-01,591799.83,563742.5,1021360.83
2020-10-01,861840.54,733692.01,891340.69
2020-11-01,696600.14,570262.17,1197505.58
2020-12-01,780347.28,777450.55,1050560.83
2021-01-01,626537.48,642652.37,1187144.3399999999
2021-02-01,715261.34,726508.78,1078028.01
2021-03-01,772750.01,850334.64,1358525.23
2021-04-01,634408.89,1227173.53,1289740.1700000002
2021-05-01,669085.78,649783.14,1279017.24
2021-06-01,833544.64,623695.2,1441596.16
2021-07-01,833732.31,689717.29,1133666.2
2021-08-01,664522.74,685977.45,1177849.5899999999
2021-09-01,844430.03,646233.31,896539.24
2021-10-01,522701.11,589405.56,1583822.56
2021-11-01,692267.31,623392.63,1029780.8
2021-12-01,785313.56,640981.15,1294042.31
2022-01-01,848902.97,947226.27,1442571.28
2022-02-01,723925.74,673653.8,1217495.31
2022-03-01,772406.1,592318.21,1262074.1
2022-04-01,906104.05,493958.31999999995,1288488.28
2022-05-01,762776.12,663348.9400000001,1315826.8800000001
2022-06-01,641348.46,556311.96,1056722.25
2022-07-01,987872.05,611115.01,1142276.18
2022-08-01,657942.72,378627.69,1299910.96
